DATE,indprod,income,sales,emp
1979-01-01,48.1214,4630.5,531505.9197349102,88810
1979-02-01,48.29,4656.9,525691.9284967412,89054
1979-03-01,48.525,4672.0,523207.45149773266,89480
1979-04-01,47.7407,4627.7,538348.3584264732,89418
1979-05-01,48.3631,4614.0,523824.0698833562,89791
1979-06-01,48.4128,4621.6,535420.5463107938,90109
1979-07-01,48.4596,4627.4,529954.2468265622,90215
1979-08-01,47.81,4634.2,529283.6180713951,90297
1979-09-01,47.9367,4639.2,530202.9195696695,90325
1979-10-01,48.1119,4645.7,527209.8449241248,90482
1979-11-01,47.9643,4662.7,525634.5424791012,90576
1979-12-01,48.1553,4677.0,525833.7057167935,90673
1980-01-01,48.3599,4670.4,524297.7858328957,90802
1980-02-01,48.271,4651.1,528736.7630797656,90882
1980-03-01,47.9141,4627.4,523763.3082176198,90994
1980-04-01,46.8837,4596.0,511837.14349275944,90850
1980-05-01,45.4268,4580.0,500879.7897715885,90419
1980-06-01,44.7079,4584.3,494467.18360431056,90099
1980-07-01,44.1728,4570.5,493043.7853236286,89837
1980-08-01,44.5267,4590.5,499265.1047654394,90097
1980-09-01,45.2736,4611.7,502863.545636286,90210
1980-10-01,46.1351,4684.8,513455.204147005,90491
1980-11-01,47.008,4712.1,524178.51293348667,90748
1980-12-01,47.1223,4731.7,524527.3299034561,90943
1981-01-01,46.9791,4715.2,525822.453556472,91037
1981-02-01,46.7173,4698.6,529023.6931679662,91105
1981-03-01,46.8745,4710.1,526843.0244976408,91210
1981-04-01,47.1163,4705.1,521400.35455008445,91283
1981-05-01,47.3397,4718.8,521691.78550241375,91293
1981-06-01,47.0871,4746.6,518002.2021329622,91490
1981-07-01,47.1944,4794.6,516635.06465388817,91602
1981-08-01,47.2285,4816.2,517823.29278384877,91566
1981-09-01,46.9975,4815.2,515749.51963657845,91479
1981-10-01,46.5645,4802.9,512201.71348717896,91380
1981-11-01,45.962,4804.9,505241.12711223925,91171
1981-12-01,45.1463,4801.9,501335.502264613,90893
1982-01-01,44.0597,4787.8,494845.256191116,90567
1982-02-01,45.2843,4804.8,492241.5062926985,90562
1982-03-01,44.8909,4800.1,500098.88984526944,90432
1982-04-01,44.5876,4827.1,500498.34153668606,90152
1982-05-01,44.5021,4828.1,501063.19998483016,90107
1982-06-01,44.425,4806.9,503642.1951305402,89864
1982-07-01,44.3812,4793.5,496501.5741904549,89522
1982-08-01,43.9711,4799.2,494587.5817197513,89364
1982-09-01,43.8589,4790.5,490052.9611101478,89183
1982-10-01,43.3283,4786.0,490999.26779319416,88906
1982-11-01,43.0294,4789.9,485945.92259276507,88783
1982-12-01,42.8744,4818.8,487269.1766465849,88769
1983-01-01,43.9324,4817.5,485930.16956831486,88993
1983-02-01,43.9072,4817.4,495203.0748893427,88918
1983-03-01,44.3216,4836.1,493116.9243657187,89090
1983-04-01,44.8509,4842.0,501387.26220209233,89366
1983-05-01,45.4329,4871.3,501341.1283447738,89643
1983-06-01,45.8053,4877.6,509132.1241514474,90022
1983-07-01,46.509,4907.4,522212.7605253036,90440
