,inv,inc,consump,qtr,ln_inv,dln_inv,ln_inc,dln_inc,ln_consump,dln_consump
0,180,451,415,1960-01-01,5.19295692444,-999.0,6.11146736145,-999.0,6.02827835083,-999.0
1,179,465,421,1960-04-01,5.18738603592,-0.00557088851929,6.14203739166,0.0305700302124,6.04263305664,0.0143547058105
2,185,485,434,1960-07-01,5.22035598755,0.0329699516296,6.18414878845,0.0421113967896,6.07304430008,0.0304112434387
3,192,493,448,1960-10-01,5.25749540329,0.037139415741,6.20050907135,0.0163602828979,6.10479307175,0.0317487716675
4,211,509,459,1961-01-01,5.35185813904,0.0943627357483,6.23244810104,0.0319390296936,6.12905025482,0.024257183075
5,202,520,458,1961-04-01,5.30826759338,-0.0435905456543,6.25382900238,0.0213809013367,6.12686920166,-0.00218105316162
6,207,521,479,1961-07-01,5.33271884918,0.0244512557983,6.25575017929,0.0019211769104,6.1717004776,0.0448312759399
7,214,540,487,1961-10-01,5.36597585678,0.0332570075989,6.29156923294,0.0358190536499,6.18826389313,0.0165634155273
8,231,548,497,1962-01-01,5.44241762161,0.0764417648315,6.30627536774,0.0147061347961,6.20859003067,0.0203261375427
9,229,558,510,1962-04-01,5.4337220192,-0.00869560241699,6.32435894012,0.0180835723877,6.23441076279,0.0258207321167
10,234,574,516,1962-07-01,5.45532131195,0.0215992927551,6.35262918472,0.0282702445984,6.2461066246,0.0116958618164
11,237,583,525,1962-10-01,5.46806001663,0.0127387046814,6.36818695068,0.0155577659607,6.26339817047,0.0172915458679
12,206,591,529,1963-01-01,5.327876091,-0.140183925629,6.38181591034,0.0136289596558,6.27098846436,0.00759029388428
13,250,599,538,1963-04-01,5.52146100998,0.193584918976,6.39526176453,0.013445854187,6.28785848618,0.0168700218201
14,259,610,546,1963-07-01,5.556828022,0.0353670120239,6.41345882416,0.0181970596313,6.30261898041,0.0147604942322
15,263,627,555,1963-10-01,5.5721540451,0.0153260231018,6.44094657898,0.0274877548218,6.31896829605,0.0163493156433
16,264,642,574,1964-01-01,5.57594919205,0.00379514694214,6.46458816528,0.0236415863037,6.35262918472,0.0336608886719
17,280,653,574,1964-04-01,5.63478946686,0.0588402748108,6.48157691956,0.0169887542725,6.35262918472,0.0
18,282,660,586,1964-07-01,5.64190721512,0.0071177482605,6.49223995209,0.0106630325317,6.37331962585,0.0206904411316
19,292,694,602,1964-10-01,5.6767539978,0.0348467826843,6.54247188568,0.0502319335938,6.40025758743,0.0269379615784
20,286,709,617,1965-01-01,5.6559920311,-0.0207619667053,6.56385564804,0.0213837623596,6.42486906052,0.0246114730835
21,302,734,639,1965-04-01,5.7104268074,0.0544347763062,6.59850883484,0.0346531867981,6.45990467072,0.035035610199
22,304,751,653,1965-07-01,5.71702766418,0.00660085678101,6.6214056015,0.0228967666626,6.48157691956,0.0216722488403
